Date,Death
19y1m,27400 
19y2m,22900 
19y3m,25000 
19y4m,23800 
19y5m,24800 
19y6m,23100 
19y7m,23200 
19y8m,23700 
19y9m,23600 
19y10m,25600 
19y11m,25400 
19y12m,26700 
20y1m,28400 
20y2m,25400 
20y3m,25900 
20y4m,24700 
20y5m,24300 
20y6m,23600 
20y7m,24000 
20y8m,25300 
20y9m,24400 
20y10m,26500 
20y11m,25600 
20y12m,26900 
21y1m,28400 
21y2m,25400 
21y3m,25900 
21y4m,24700 
21y5m,24300 
21y6m,23600 
21y7m,24000 
21y8m,25300 
21y9m,24400 
21y10m,26500 
21y11m,25600 
21y12m,26900 
